"","AdmArea","Month","Year","TotalAmount"
"522","Юго-Западный административный округ","Ноябрь",2019,2191163805
"523","Западный административный округ","Ноябрь",2019,1812193787
"524","Северо-Западный административный округ","Ноябрь",2019,1307911700
"525","Зеленоградский административный округ","Ноябрь",2019,423167346
"526","Новомосковский административный округ","Ноябрь",2019,268111158
"527","Троицкий административный округ","Ноябрь",2019,95942143
"528","Центральный административный округ","Декабрь",2019,1346013423.63
"529","Северный административный округ","Декабрь",2019,1809773361.64
"530","Северо-Восточный административный округ","Декабрь",2019,2
"531","Восточный административный округ","Декабрь",2019,2250554931.12
"532","Юго-Восточный административный округ","Декабрь",2019,2151806586.58
"533","Южный административный округ","Декабрь",2019,2389751560.99
"534","Юго-Западный административный округ","Декабрь",2019,2219153100.52
"535","Западный административный округ","Декабрь",2019,1846407604.59
"536","Северо-Западный административный округ","Декабрь",2019,1318223040.65
"537","Зеленоградский административный округ","Декабрь",2019,426234789.57
"538","Новомосковский административный округ","Декабрь",2019,280828741.72
"539","Троицкий административный округ","Декабрь",2019,1
"540","Центральный административный округ","Январь",2020,1387503641.27
"541","Северный административный округ","Январь",2020,1848295002.87
"542","Северо-Восточный административный округ","Январь",2020,2129861412.88
"543","Восточный административный округ","Январь",2020,2305718266.93
"544","Юго-Восточный административный округ","Январь",2020,2218533115.28
"545","Южный административный округ","Январь",2020,2419597385.6
"546","Юго-Западный административный округ","Январь",2020,2289362813.64
"547","Западный административный округ","Январь",2020,1896016343.11
"548","Северо-Западный административный округ","Январь",2020,1345512939.15
"549","Зеленоградский административный округ","Январь",2020,437988266.22
"550","Новомосковский административный округ","Январь",2020,289681812.22
"551","Троицкий административный округ","Январь",2020,1
"552","Центральный административный округ","Февраль",2020,1342359782.32
"553","Северный административный округ","Февраль",2020,1819101388.27
"554","Северо-Восточный административный округ","Февраль",2020,2
"555","Восточный административный округ","Февраль",2020,2236833143.23
"556","Юго-Восточный административный округ","Февраль",2020,2165986778.05
"557","Южный административный округ","Февраль",2020,2377050764.41
"558","Юго-Западный административный округ","Февраль",2020,2242368376.34
"559","Западный административный округ","Февраль",2020,1835439143.1
"560","Северо-Западный административный округ","Февраль",2020,1295478415.22
"561","Зеленоградский административный округ","Февраль",2020,429192609.98
"562","Новомосковский административный округ","Февраль",2020,289169687.53
"563","Троицкий административный округ","Февраль",2020,1
"564","Центральный административный округ","Март",2020,1354303732.14
"565","Северный административный округ","Март",2020,1900936680.61
"566","Северо-Восточный административный округ","Март",2020,2109654667.05
"567","Восточный административный округ","Март",2020,2245578097.94
"568","Юго-Восточный административный округ","Март",2020,2186318889.4
"569","Южный административный округ","Март",2020,2420188131.28
"570","Юго-Западный административный округ","Март",2020,2251885976.02
"571","Западный административный округ","Март",2020,1850840963.06
"572","Северо-Западный административный округ","Март",2020,1317605111.55
"573","Зеленоградский административный округ","Март",2020,432097436.5
"574","Новомосковский административный округ","Март",2020,283279484.1
"575","Троицкий административный округ","Март",2020,1
"576","Центральный административный округ","Апрель",2020,1128903692.78
"577","Северный административный округ","Апрель",2020,1576307621.41
"578","Северо-Восточный административный округ","Апрель",2020,1790663718.09
"579","Восточный административный округ","Апрель",2020,1963232217.06
"580","Юго-Восточный административный округ","Апрель",2020,1893170885.45
"581","Южный административный округ","Апрель",2020,2
"582","Юго-Западный административный округ","Апрель",2020,1908984359.02
"583","Западный административный округ","Апрель",2020,1538913964.5
"584","Северо-Западный административный округ","Апрель",2020,1113804635.58
"585","Зеленоградский административный округ","Апрель",2020,368882357.72
"586","Новомосковский административный округ","Апрель",2020,135755148.06
"587","Троицкий административный округ","Апрель",2020,68657427.18
"588","Центральный административный округ","Май",2020,1128787326.7
"589","Северный административный округ","Май",2020,1596512846.68
"590","Северо-Восточный административный округ","Май",2020,1802707948.31
"591","Восточный административный округ","Май",2020,1969665525.21
"592","Юго-Восточный административный округ","Май",2020,1896833627.64
"593","Южный административный округ","Май",2020,2
"594","Юго-Западный административный округ","Май",2020,1918177892.84
"595","Западный административный округ","Май",2020,1535232910.54
"596","Северо-Западный административный округ","Май",2020,1111031532.41
"597","Зеленоградский административный округ","Май",2020,374475514.42
"598","Новомосковский административный округ","Май",2020,133831301.83
"599","Троицкий административный округ","Май",2020,64887762.94
"600","Центральный административный округ","Июнь",2020,1112187632.66
"601","Северный административный округ","Июнь",2020,1555658889.85
"602","Северо-Восточный административный округ","Июнь",2020,1765921742.61
"603","Восточный административный округ","Июнь",2020,1929408162.53
"604","Юго-Восточный административный округ","Июнь",2020,1861367048.21
"605","Южный административный округ","Июнь",2020,2
"606","Юго-Западный административный округ","Июнь",2020,1901232068.84
"607","Западный административный округ","Июнь",2020,1513901169.92
"608","Северо-Западный административный округ","Июнь",2020,1
"609","Зеленоградский административный округ","Июнь",2020,367747679.49
"610","Новомосковский административный округ","Июнь",2020,118593745.55
"611","Троицкий административный округ","Июнь",2020,5
"612","Центральный административный округ","Июль",2020,1361095963.83
"613","Северный административный округ","Июль",2020,1829989725.33
"614","Северо-Восточный административный округ","Июль",2020,2
"615","Восточный административный округ","Июль",2020,2202025484.78
"616","Юго-Восточный административный округ","Июль",2020,2169794217.32
"617","Южный административный округ","Июль",2020,2365022001.75
"618","Юго-Западный административный округ","Июль",2020,2253156059.37
"619","Западный административный округ","Июль",2020,1832475668.33
"620","Северо-Западный административный округ","Июль",2020,1292074025.8
"621","Зеленоградский административный округ","Июль",2020,433396382.01
"622","Новомосковский административный округ","Июль",2020,254303714.44
"623","Троицкий административный округ","Июль",2020,78625381.07
"624","Центральный административный округ","Август",2020,1348579151
"625","Северный административный округ","Август",2020,1810646360.92
"626","Восточный административный округ","Август",2020,2194882279.51
"627","Юго-Восточный административный округ","Август",2020,2130260416.54
"628","Южный административный округ","Август",2020,2323337352.47
"629","Юго-Западный административный округ","Август",2020,2199647885.8
"630","Западный административный округ","Август",2020,1803729359.23
"631","Северо-Западный административный округ","Август",2020,1281790286.19
"632","Зеленоградский административный округ","Август",2020,424083475.43
"633","Новомосковский административный округ","Август",2020,252406343.49
"634","Троицкий административный округ","Август",2020,78997665.07
"635","Центральный административный округ","Сентябрь",2020,1339981091.29
"636","Северный административный округ","Сентябрь",2020,1780222190.06
"637","Северо-Восточный административный округ","Сентябрь",2020,2
"638","Восточный административный округ","Сентябрь",2020,2177997158.45
"639","Юго-Восточный административный округ","Сентябрь",2020,2112607212.78
"640","Южный административный округ","Сентябрь",2020,2321387051.15
"641","Юго-Западный административный округ","Сентябрь",2020,2176708727.44
"642","Западный административный округ","Сентябрь",2020,1818384128.14
"643","Северо-Западный административный округ","Сентябрь",2020,1271589889.92
"644","Зеленоградский административный округ","Сентябрь",2020,418818829.39
"645","Новомосковский административный округ","Сентябрь",2020,267079816.9
"646","Троицкий административный округ","Сентябрь",2020,79767361.68
"647","Центральный административный округ","Октябрь",2020,1351154922.05
"648","Северный административный округ","Октябрь",2020,1822446050.42
"649","Северо-Восточный административный округ","Октябрь",2020,2
"650","Восточный административный округ","Октябрь",2020,2218228275.89
"651","Юго-Восточный административный округ","Октябрь",2020,2147210354.72
"652","Южный административный округ","Октябрь",2020,2355396375.36
"653","Юго-Западный административный округ","Октябрь",2020,2215897451.59
"654","Западный административный округ","Октябрь",2020,1849491779.17
"655","Северо-Западный административный округ","Октябрь",2020,1294292548.63
"656","Зеленоградский административный округ","Октябрь",2020,427904235.91
"657","Новомосковский административный округ","Октябрь",2020,270349247.66
"658","Троицкий административный округ","Октябрь",2020,84057304.03
"659","Центральный административный округ","Ноябрь",2020,1360154861.83
"660","Северный административный округ","Ноябрь",2020,1844138080.02
"661","Северо-Восточный административный округ","Ноябрь",2020,2
"662","Восточный административный округ","Ноябрь",2020,2246501018.24
"663","Юго-Восточный административный округ","Ноябрь",2020,2175722733.96
"664","Южный административный округ","Ноябрь",2020,2401504418.05
"665","Юго-Западный административный округ","Ноябрь",2020,2244624312.01
"666","Западный административный округ","Ноябрь",2020,1863662225.02
"667","Северо-Западный административный округ","Ноябрь",2020,1320399586.51
"668","Зеленоградский административный округ","Ноябрь",2020,430099924.41
"669","Новомосковский административный округ","Ноябрь",2020,274338667.6
"670","Троицкий административный округ","Ноябрь",2020,1
"671","Центральный административный округ","Декабрь",2020,1390256402.39
"672","Северный административный округ","Декабрь",2020,1868116105.11
"673","Северо-Восточный административный округ","Декабрь",2020,2116583501.12
"674","Восточный административный округ","Декабрь",2020,2267625426.66
"675","Юго-Восточный административный округ","Декабрь",2020,2205266871.33
"676","Южный административный округ","Декабрь",2020,2423624819.93
"677","Юго-Западный административный округ","Декабрь",2020,2259457376.69
"678","Западный административный округ","Декабрь",2020,1873163968.12
"679","Северо-Западный административный округ","Декабрь",2020,1326764891.18
"680","Зеленоградский административный округ","Декабрь",2020,436023880.77
"681","Новомосковский административный округ","Декабрь",2020,274931312.44
"682","Троицкий административный округ","Декабрь",2020,1
"683","Центральный административный округ","Январь",2021,1390256402.39
"684","Северный административный округ","Январь",2021,1868116105.11
"685","Северо-Восточный административный округ","Январь",2021,2116583501.12
"686","Восточный административный округ","Январь",2021,2267625426.66
"687","Юго-Восточный административный округ","Январь",2021,2205266871.33
"688","Южный административный округ","Январь",2021,2423624819.93
"689","Юго-Западный административный округ","Январь",2021,2259457376.69
"690","Западный административный округ","Январь",2021,1873163968.12
"691","Северо-Западный административный округ","Январь",2021,1326764891.18
"692","Зеленоградский административный округ","Январь",2021,436023880.77
"693","Новомосковский административный округ","Январь",2021,274931312.44
"694","Троицкий административный округ","Январь",2021,1
"695","Центральный административный округ","Февраль",2021,1369971528.59
"696","Северный административный округ","Февраль",2021,1898565529.83
"697","Северо-Восточный административный округ","Февраль",2021,2130879566.2
"698","Восточный административный округ","Февраль",2021,2287188847.97
"699","Юго-Восточный административный округ","Февраль",2021,2227448555.99
"700","Южный административный округ","Февраль",2021,2451373587.53
"701","Юго-Западный административный округ","Февраль",2021,2263716661.19
"702","Западный административный округ","Февраль",2021,1892189206.09
"703","Северо-Западный административный округ","Февраль",2021,1352436761.57
"704","Зеленоградский административный округ","Февраль",2021,449586123.52
"705","Новомосковский административный округ","Февраль",2021,290755019.2
"706","Троицкий административный округ","Февраль",2021,1
"707","Центральный административный округ","Март",2021,1385675904.84
"708","Северный административный округ","Март",2021,1891026769.46
"709","Северо-Восточный административный округ","Март",2021,2135527617.76
"710","Восточный административный округ","Март",2021,2280577645.47
"711","Юго-Восточный административный округ","Март",2021,2230385371.94
"712","Южный административный округ","Март",2021,2469010690.62
"713","Юго-Западный административный округ","Март",2021,2275758935.93
"714","Западный административный округ","Март",2021,1902769423.22
"715","Северо-Западный административный округ","Март",2021,1354728032.17
"716","Зеленоградский административный округ","Март",2021,445180231.36
"717","Новомосковский административный округ","Март",2021,292733403.46
"718","Троицкий административный округ","Март",2021,1
"719","Центральный административный округ","Апрель",2021,1384333329.46
"720","Северный административный округ","Апрель",2021,1900890057.5
"721","Северо-Восточный административный округ","Апрель",2021,2145410781.38
"722","Восточный административный округ","Апрель",2021,2275251937.7
"723","Юго-Восточный административный округ","Апрель",2021,2216244380.67
"724","Южный административный округ","Апрель",2021,2450495630.95
"725","Юго-Западный административный округ","Апрель",2021,2284048940.92
"726","Западный административный округ","Апрель",2021,1899591330.47
"727","Северо-Западный административный округ","Апрель",2021,1343446678.75
"728","Зеленоградский административный округ","Апрель",2021,443311364.36
"729","Новомосковский административный округ","Апрель",2021,288840064.97
"730","Троицкий административный округ","Апрель",2021,1
"731","Центральный административный округ","Май",2021,1399711506.75
"732","Северный административный округ","Май",2021,1893622964.06
"733","Северо-Восточный административный округ","Май",2021,2149594846.99
"734","Восточный административный округ","Май",2021,2287178994.95
"735","Юго-Восточный административный округ","Май",2021,2235808605.27
"736","Южный административный округ","Май",2021,2486609468.22
"737","Юго-Западный административный округ","Май",2021,2300060080.21
"738","Западный административный округ","Май",2021,1905429546.76
"739","Северо-Западный административный округ","Май",2021,1348601684.95
"740","Зеленоградский административный округ","Май",2021,447224291.56
"741","Новомосковский административный округ","Май",2021,297576058.8
"742","Троицкий административный округ","Май",2021,93980679.26
"743","Центральный административный округ","Июнь",2021,1388763616.68
"744","Северный административный округ","Июнь",2021,1878835501.07
"745","Северо-Восточный административный округ","Июнь",2021,2146269937.53
"746","Восточный административный округ","Июнь",2021,2277154430.58
"747","Юго-Восточный административный округ","Июнь",2021,2214992757.35
"748","Южный административный округ","Июнь",2021,2482192057.64
"749","Юго-Западный административный округ","Июнь",2021,2279931654.69
"750","Западный административный округ","Июнь",2021,1894804545.3
"751","Северо-Западный административный округ","Июнь",2021,1353829567.63
"752","Зеленоградский административный округ","Июнь",2021,443874756.89
"753","Новомосковский административный округ","Июнь",2021,301901764
"754","Троицкий административный округ","Июнь",2021,78367660.7
"755","Центральный административный округ","Июль",2021,1392154989.93
"756","Северный административный округ","Июль",2021,1868844288.01
"757","Северо-Восточный административный округ","Июль",2021,2
"758","Восточный административный округ","Июль",2021,2254605501.78
"759","Юго-Восточный административный округ","Июль",2021,2197822168.28
"760","Южный административный округ","Июль",2021,2424279034.51
"761","Юго-Западный административный округ","Июль",2021,2267532512.21
"762","Западный административный округ","Июль",2021,1859895494.58
"763","Северо-Западный административный округ","Июль",2021,1326893335.99
"764","Зеленоградский административный округ","Июль",2021,437764090.5
"765","Новомосковский административный округ","Июль",2021,276360817.24
"766","Троицкий административный округ","Июль",2021,72993322.58
"767","Центральный административный округ","Август",2021,1381415073.39
"768","Северный административный округ","Август",2021,1838810555.73
"769","Северо-Восточный административный округ","Август",2021,2
"770","Восточный административный округ","Август",2021,2219915833.92
"771","Юго-Восточный административный округ","Август",2021,2156187980.25
"772","Южный административный округ","Август",2021,2364620138.34
"773","Юго-Западный административный округ","Август",2021,2229220567.19
"774","Западный административный округ","Август",2021,1840364166.61
"775","Северо-Западный административный округ","Август",2021,1321095032.17
"776","Зеленоградский административный округ","Август",2021,436946995.48
"777","Новомосковский административный округ","Август",2021,276150417.76
"778","Троицкий административный округ","Август",2021,73956400.52
"779","Центральный административный округ","Сентябрь",2021,1374895973.6
"780","Северный административный округ","Сентябрь",2021,1841760633.26
"781","Северо-Восточный административный округ","Сентябрь",2021,2
"782","Восточный административный округ","Сентябрь",2021,2217197270.21
"783","Юго-Восточный административный округ","Сентябрь",2021,2163169736.82
"784","Южный административный округ","Сентябрь",2021,2373801039.2
"785","Юго-Западный административный округ","Сентябрь",2021,2228300579.25
"786","Западный административный округ","Сентябрь",2021,1845286497.61
"787","Северо-Западный административный округ","Сентябрь",2021,1320956922.06
"788","Зеленоградский административный округ","Сентябрь",2021,445518338.06
"789","Новомосковский административный округ","Сентябрь",2021,299326980.73
"790","Троицкий административный округ","Сентябрь",2021,73687990.53
"791","Центральный административный округ","Октябрь",2021,1395232174.22
"792","Северный административный округ","Октябрь",2021,1887944077.03
"793","Северо-Восточный административный округ","Октябрь",2021,2110017177.27
"794","Восточный административный округ","Октябрь",2021,2272369924.08
"795","Юго-Восточный административный округ","Октябрь",2021,2228129402.6
"796","Южный административный округ","Октябрь",2021,2438527852.63
"797","Юго-Западный административный округ","Октябрь",2021,2269768675.93
"798","Западный административный округ","Октябрь",2021,1880068178.91
"799","Северо-Западный административный округ","Октябрь",2021,1351810423.17
"800","Зеленоградский административный округ","Октябрь",2021,449156805.42
"801","Новомосковский административный округ","Октябрь",2021,313912273.11
"802","Троицкий административный округ","Октябрь",2021,85280338.57
"803","Центральный административный округ","Ноябрь",2021,1426668016.12
"804","Северный административный округ","Ноябрь",2021,1927286097.15
"805","Северо-Восточный административный округ","Ноябрь",2021,2194908345.42
"806","Восточный административный округ","Ноябрь",2021,2293855992.73
"807","Юго-Восточный административный округ","Ноябрь",2021,2257691502.16
"808","Южный административный округ","Ноябрь",2021,2473828426.17
"809","Юго-Западный административный округ","Ноябрь",2021,2329885805.17
"810","Западный административный округ","Ноябрь",2021,1950134353.91
"811","Северо-Западный административный округ","Ноябрь",2021,1380015610.16
"812","Зеленоградский административный округ","Ноябрь",2021,451961863.71
"813","Новомосковский административный округ","Ноябрь",2021,312623837.69
"814","Троицкий административный округ","Ноябрь",2021,95400175.51
"815","Центральный административный округ","Декабрь",2021,1432572227.85
"816","Северный административный округ","Декабрь",2021,1946617008.52
"817","Северо-Восточный административный округ","Декабрь",2021,2192528529.74
"818","Восточный административный округ","Декабрь",2021,2305577158.28
"819","Юго-Восточный административный округ","Декабрь",2021,2335809214.44
"820","Южный административный округ","Декабрь",2021,2517687230.23
"821","Юго-Западный административный округ","Декабрь",2021,2326646565.03
"822","Западный административный округ","Декабрь",2021,1982538911.64
"823","Северо-Западный административный округ","Декабрь",2021,1409755027.14
"824","Зеленоградский административный округ","Декабрь",2021,454938163.64
"825","Новомосковский административный округ","Декабрь",2021,329060377.14
"826","Троицкий административный округ","Декабрь",2021,98363416.5
"827",NA,NA,NA,NA
