"","AdmArea","Month","Year","TotalAmount"
"178","Новомосковский административный округ","Июнь",2017,167198204.73
"179","Троицкий административный округ","Июнь",2017,6
"180","Центральный административный округ","Июль",2017,1197215543.72
"181","Северный административный округ","Июль",2017,1625745927.23
"182","Северо-Восточный административный округ","Июль",2017,1851765323.55
"183","Восточный административный округ","Июль",2017,2
"184","Юго-Восточный административный округ","Июль",2017,1957232637.67
"185","Южный административный округ","Июль",2017,2163874800.22
"186","Юго-Западный административный округ","Июль",2017,2
"187","Западный административный округ","Июль",2017,1632655140.07
"188","Северо-Западный административный округ","Июль",2017,1200658638.52
"189","Зеленоградский административный округ","Июль",2017,386292300.52
"190","Новомосковский административный округ","Июль",2017,169374095.61
"191","Троицкий административный округ","Июль",2017,73339587.41
"192","Центральный административный округ","Июль",2018,1231668213.78
"193","Северный административный округ","Июль",2018,1626617950.07
"194","Северо-Восточный административный округ","Июль",2018,1847969585.16
"195","Восточный административный округ","Июль",2018,2
"196","Юго-Восточный административный округ","Июль",2018,1932796868.51
"197","Южный административный округ","Июль",2018,2148020318.76
"198","Юго-Западный административный округ","Июль",2018,2
"199","Западный административный округ","Июль",2018,1628534723.89
"200","Северо-Западный административный округ","Июль",2018,1186714373.85
"201","Зеленоградский административный округ","Июль",2018,385688856.99
"202","Новомосковский административный округ","Июль",2018,195022283.86
"203","Троицкий административный округ","Июль",2018,65656775.62
"204","Центральный административный округ","Июнь",2018,1230541429.98
"205","Северный административный округ","Июнь",2018,1630943187.66
"206","Северо-Восточный административный округ","Июнь",2018,1873090823.98
"207","Восточный административный округ","Июнь",2018,2
"208","Юго-Восточный административный округ","Июнь",2018,1939536229.23
"209","Южный административный округ","Июнь",2018,2153349310.51
"210","Юго-Западный административный округ","Июнь",2018,2
"211","Западный административный округ","Июнь",2018,1638254408.07
"212","Северо-Западный административный округ","Июнь",2018,1197612729.76
"213","Зеленоградский административный округ","Июнь",2018,388347881.96
"214","Новомосковский административный округ","Июнь",2018,196509932.63
"215","Троицкий административный округ","Июнь",2018,66919372.58
"216","Центральный административный округ","Май",2018,1247099349.01
"217","Северный административный округ","Май",2018,1657097631.63
"218","Северо-Восточный административный округ","Май",2018,1904264992.42
"219","Восточный административный округ","Май",2018,2
"220","Юго-Восточный административный округ","Май",2018,1988236582.12
"221","Южный административный округ","Май",2018,2192147385.45
"222","Юго-Западный административный округ","Май",2018,2
"223","Западный административный округ","Май",2018,1612574935.56
"224","Северо-Западный административный округ","Май",2018,1218435760.02
"225","Зеленоградский административный округ","Май",2018,394841732.16
"226","Новомосковский административный округ","Май",2018,218264493.9
"227","Троицкий административный округ","Май",2018,84981749.7
"228","Центральный административный округ","Март",2018,1238932233.52
"229","Северный административный округ","Март",2018,1657072477.47
"230","Северо-Восточный административный округ","Март",2018,1900823173.86
"231","Восточный административный округ","Март",2018,2
"232","Юго-Восточный административный округ","Март",2018,1979967108.92
"233","Южный административный округ","Март",2018,2217593271.63
"234","Юго-Западный административный округ","Март",2018,2
"235","Западный административный округ","Март",2018,1667094000.82
"236","Северо-Западный административный округ","Март",2018,1221983061.9
"237","Зеленоградский административный округ","Март",2018,394883273.6
"238","Новомосковский административный округ","Март",2018,237537488.5
"239","Троицкий административный округ","Март",2018,96548484.74
"240","Центральный административный округ","Февраль",2018,1247523024.93
"241","Северный административный округ","Февраль",2018,1668723347.52
"242","Северо-Восточный административный округ","Февраль",2018,1892090625.7
"243","Восточный административный округ","Февраль",2018,2
"244","Юго-Восточный административный округ","Февраль",2018,1980387049.43
"245","Южный административный округ","Февраль",2018,2222047455.51
"246","Юго-Западный административный округ","Февраль",2018,2
"247","Западный административный округ","Февраль",2018,1665740631.71
"248","Северо-Западный административный округ","Февраль",2018,1216452851.99
"249","Зеленоградский административный округ","Февраль",2018,4
"250","Новомосковский административный округ","Февраль",2018,237545530.26
"251","Троицкий административный округ","Февраль",2018,98505288.13
"252","Центральный административный округ","Январь",2018,1255932407.09
"253","Северный административный округ","Январь",2018,1668939491.04
"254","Северо-Восточный административный округ","Январь",2018,1921247502.3
"255","Восточный административный округ","Январь",2018,2109064499.43
"256","Юго-Восточный административный округ","Январь",2018,1998495345.4
"257","Южный административный округ","Январь",2018,2232401895.58
"258","Юго-Западный административный округ","Январь",2018,2
"259","Западный административный округ","Январь",2018,1690846628.62
"260","Северо-Западный административный округ","Январь",2018,1234697415.7
"261","Зеленоградский административный округ","Январь",2018,397195626.33
"262","Новомосковский административный округ","Январь",2018,226105736.09
"263","Троицкий административный округ","Январь",2018,9
"264","Центральный административный округ","Февраль",2019,1318968869
"265","Северный административный округ","Февраль",2019,1831562119.51
"266","Северо-Восточный административный округ","Февраль",2019,2
"267","Восточный административный округ","Февраль",2019,2271854463.85
"268","Юго-Восточный административный округ","Февраль",2019,2175699593.46
"269","Южный административный округ","Февраль",2019,2396176820.88
"270","Юго-Западный административный округ","Февраль",2019,2264748489.03
"271","Западный административный округ","Февраль",2019,1825240567.21
"272","Северо-Западный административный округ","Февраль",2019,1331422403.3
"273","Зеленоградский административный округ","Февраль",2019,418664096.17
"274","Новомосковский административный округ","Февраль",2019,266425316.12
"275","Троицкий административный округ","Февраль",2019,118886503.01
"276","Центральный административный округ","Сентябрь",2017,1212037226.66
"277","Северный административный округ","Сентябрь",2017,1599651230.45
"278","Северо-Восточный административный округ","Сентябрь",2017,1825393711.28
"279","Восточный административный округ","Сентябрь",2017,2
"280","Юго-Восточный административный округ","Сентябрь",2017,1920471981.04
"281","Южный административный округ","Сентябрь",2017,2132354503.21
"282","Юго-Западный административный округ","Сентябрь",2017,1989465537.15
"283","Западный административный округ","Сентябрь",2017,1613406224.97
"284","Северо-Западный административный округ","Сентябрь",2017,1191076213.79
"285","Зеленоградский административный округ","Сентябрь",2017,380241389.96
"286","Новомосковский административный округ","Сентябрь",2017,192882088.49
"287","Троицкий административный округ","Сентябрь",2017,68419219.56
"288","Центральный административный округ","Ноябрь",2018,1249987014.8
"289","Северный административный округ","Ноябрь",2018,1673224959.09
"290","Северо-Восточный административный округ","Ноябрь",2018,1894486071.97
"291","Восточный административный округ","Ноябрь",2018,2
"292","Юго-Восточный административный округ","Ноябрь",2018,1983609669.54
"293","Южный административный округ","Ноябрь",2018,2198533692.09
"294","Юго-Западный административный округ","Ноябрь",2018,2
"295","Западный административный округ","Ноябрь",2018,1686486992.73
"296","Северо-Западный административный округ","Ноябрь",2018,1214616616.74
"297","Зеленоградский административный округ","Ноябрь",2018,389147262
"298","Новомосковский административный округ","Ноябрь",2018,241460571.6
"299","Троицкий административный округ","Ноябрь",2018,1
"300","Центральный административный округ","Октябрь",2018,1236657418.57
"301","Северный административный округ","Октябрь",2018,1624493333.31
"302","Северо-Восточный административный округ","Октябрь",2018,1877699041.02
"303","Восточный административный округ","Октябрь",2018,2
"304","Юго-Восточный административный округ","Октябрь",2018,1950688805.54
"305","Южный административный округ","Октябрь",2018,2174406101.5
"306","Юго-Западный административный округ","Октябрь",2018,2
"307","Западный административный округ","Октябрь",2018,1662831530.4
"308","Северо-Западный административный округ","Октябрь",2018,1197152952.5
"309","Зеленоградский административный округ","Октябрь",2018,384574488
"310","Новомосковский административный округ","Октябрь",2018,218093852.81
"311","Троицкий административный округ","Октябрь",2018,75576692.79
"312","Центральный административный округ","Сентябрь",2018,1221825452.9
"313","Северный административный округ","Сентябрь",2018,1596048024.01
"314","Северо-Восточный административный округ","Сентябрь",2018,1838610437.11
"315","Восточный административный округ","Сентябрь",2018,2
"316","Юго-Восточный административный округ","Сентябрь",2018,1913392216.9
"317","Южный административный округ","Сентябрь",2018,2123933799.83
"318","Юго-Западный административный округ","Сентябрь",2018,1987505983.74
"319","Западный административный округ","Сентябрь",2018,1620464790.6
"320","Северо-Западный административный округ","Сентябрь",2018,1171078817.72
"321","Зеленоградский административный округ","Сентябрь",2018,377608395.87
"322","Новомосковский административный округ","Сентябрь",2018,212704550.32
"323","Троицкий административный округ","Сентябрь",2018,67971642.79
"324","Центральный административный округ","Декабрь",2018,1250072335
"325","Северный административный округ","Декабрь",2018,1679943518
"326","Северо-Восточный административный округ","Декабрь",2018,1917608426
"327","Восточный административный округ","Декабрь",2018,2112882335
"328","Юго-Восточный административный округ","Декабрь",2018,2011629946
"329","Южный административный округ","Декабрь",2018,2228433620
"330","Юго-Западный административный округ","Декабрь",2018,2066685188
"331","Западный административный округ","Декабрь",2018,1711436294
"332","Северо-Западный административный округ","Декабрь",2018,1228750067
"333","Зеленоградский административный округ","Декабрь",2018,398673356
"334","Новомосковский административный округ","Декабрь",2018,222857178
"335","Троицкий административный округ","Декабрь",2018,89263910
"336","Центральный административный округ","Ноябрь",2017,1248661932
"337","Северный административный округ","Ноябрь",2017,1665855711
"338","Северо-Восточный административный округ","Ноябрь",2017,1899191640
"339","Восточный административный округ","Ноябрь",2017,2083021041
"340","Юго-Восточный административный округ","Ноябрь",2017,1996510786
"341","Южный административный округ","Ноябрь",2017,2228625581
"342","Юго-Западный административный округ","Ноябрь",2017,2049736736
"343","Западный административный округ","Ноябрь",2017,1690447740
"344","Северо-Западный административный округ","Ноябрь",2017,1221060573
